"sku","nombre","descripcion","precio1","precio2","precio3","precio4","precio5","cantidad2","cantidad3","cantidad4","cantidad5","unidad_medida","CATEGORIA","ACTIVO"
"0254","CIRIO LARGO NO_1 PROFINA","-",65.00,60.00,60.00,60.00,"",24.00,24.00,24.00,"","PZ","VELADORAS Y CIRIOS",1
"4588","CIRUELA PASA CON HUESO 10_KG","-",780.00,780.00,780.00,780.00,"",1.00,1.00,1.00,"","CJ","FRUTOS SECOS",1
"2196","CIRUELA PASA CON HUESO GRANEL","-",85.00,80.00,80.00,80.00,"",5.00,5.00,5.00,"","KG","FRUTOS SECOS",1
"4589","CIRUELA PASA SIN HUESO 10_KG","-",1200.00,1200.00,1200.00,1200.00,"",1.00,1.00,1.00,"","CJ","FRUTOS SECOS",1
"0911","CIRUELA PASA SIN HUESO GRANEL","-",130.00,125.00,125.00,125.00,"",5.00,5.00,5.00,"","KG","FRUTOS SECOS",1
"5019","CLAMATO 473_ML","-",25.00,25.00,25.00,25.00,"",1.00,1.00,1.00,"","PZ","SALSAS",1
"4318","CLAVO DE OLOR ENTERO 1_KG","-",300.00,300.00,300.00,300.00,"",1.00,1.00,1.00,"","PQ","ESPECIAS ENTERAS Y MOLIDAS",1
"0916","CLAVO DE OLOR ENTERO GRANEL","-",360.00,320.00,320.00,320.00,"",2.00,2.00,2.00,"","KG","ESPECIAS ENTERAS Y MOLIDAS",1
"5536","CLAVO ENTERO ESPECIERO 40_GR","-",29.00,27.00,27.00,27.00,"",6.00,6.00,6.00,"","PZ","ESPECIAS ENTERAS Y MOLIDAS",1
"5435","CLAVO ENTERO LA ALTEÑA ESPECIERO 300_GR","-",94.00,87.00,87.00,87.00,"",12.00,12.00,12.00,"","PZ","ESPECIAS ENTERAS Y MOLIDAS",1
"5404","CLAVO MOLIDO ESPECIERO 60_GR","-",34.00,31.50,31.50,31.50,"",6.00,6.00,6.00,"","PZ","ESPECIAS ENTERAS Y MOLIDAS",1
"5348","CLAVO MOLIDO MOY 1_KG","-",290.00,290.00,290.00,290.00,"",1.00,1.00,1.00,"","PQ","ESPECIAS ENTERAS Y MOLIDAS",1
"5349","CLAVO MOLIDO MOY GRANEL","-",315.00,315.00,315.00,315.00,"",1.00,1.00,1.00,"","KG","ESPECIAS ENTERAS Y MOLIDAS",1
